key,nome,nomeunita1,daprof,aprof,litologia,etarel,a
1001232,2,LIGURIDI S.L.,0.0,472.2,ARGILLITE-CALCARE,CRETACEO,EOCENE
1007672,5,LIGURIDI S.L.,0.0,490.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1007283,6,LIGURIDI S.L.,0.0,508.0,,non inserita,
1003630,10,LIGURIDI S.L.,0.0,270.45,ARGILLITE-CALCARE MARNOSO-ARENARIA,CRETACEO,EOCENE
5044015,11,VULCANITI,0.0,200.0,PIROCLASTITI E LAVE,QUATERNARIO,
1001251,15,LIGURIDI S.L.,0.0,267.35,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1004967,16,LIGURIDI S.L.,0.0,143.0,ARGILLITE-CALCARE MARNOSO,CRETACEO ,EOCENE
1009287,19,LIGURIDI S.L.,0.0,381.0,ARGILLITE-CALCARE MARNOSO-ARENARIA,CRETACEO,EOCENE
4946005,21,VULCANITI,0.0,242.0,PIROCLASTITI E LAVE,QUATERNARIO,
5044017,22,VULCANITI,0.0,42.0,PIROCLASTITI E LAVE,QUATERNARIO,
1003405,25,LIGURIDI S.L.,0.0,141.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1008598,30,LIGURIDI S.L.,0.0,106.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1005460,31,LIGURIDI S.L.,0.0,106.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1005702,37,LIGURIDI S.L.,0.0,330.9,ARGILLITE-CALCARE MARNOSO-ARENARIA,CRETACEO,EOCENE
5535013,38,LIGURIDI S.L.,0.0,199.0,ARGILLOSCISTI E CALCARI MARNOSI,EOCENE SUP.,CRETACEO INF.
4944006,39,VULCANITI,0.0,244.0,PIROCLASTITI E LAVE,QUATERNARIO,
4945006,40,VULCANITI,0.0,132.0,PIROCLASTITI E LAVE,QUATERNARIO,
1002384,41,LIGURIDI S.L.,0.0,130.4,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1007898,42,LIGURIDI S.L.,0.0,188.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1008124,43,LIGURIDI S.L.,0.0,366.6,CALCARE-ARGILLITE,CRETACEO,EOCENE
1008083,44,LIGURIDI S.L.,0.0,269.5,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1006823,45,LIGURIDI S.L.,0.0,270.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1004296,49,LIGURIDI S.L.,0.0,311.0,CALCARE-CALCARE MARNOSO-ARGILLITE-ARENARIA,CRETACEO,EOCENE
1006956,50,MACIGNO,0.0,184.2,ARENARIA-ARGILLITE,OLIGOCENE-S,AQUITANIANO
1009802,51,LIGURIDI S.L.,0.0,500.35,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1005411,52,LIGURIDI S.L.,0.0,318.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
174206,53,SERIE MARINO-CONTINENTALI,0.0,25.0,CONGLOMERATO,PLIOCENE-INF.,
1000717,54,LIGURIDI S.L.,0.0,365.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1001490,55,LIGURIDI S.L.,0.0,242.7,ARGILLITE-CALCARE,CRETACEO,EOCENE
1003978,56,LIGURIDI S.L.,0.0,312.0,CALCARE MARNOSO-ARGILLITE,CRETACEO,EOCENE
542599,57,LIGURIDI S.L.,0.0,320.0,CALCARE MARNOSO-ARGILLITE,ETA' IMPRECISATA,
1000652,58,LIGURIDI S.L.,0.0,356.5,CALCARE MARNOSO-CALCARE SILICEO-ARGILLITE-ARENARIA,CRETACEO,EOCENE
412895,59,CALCAREO-MARNOSA. F.L.,0.0,505.0,CALCARE MARNOSO-MARNA-CALCARE MICRITICO-ARGILLITE-ARENARIA CEM. CARB.,CRETACEO-SUP,
1007371,61,LIGURIDI S.L.,0.0,365.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1003397,62,LIGURIDI S.L.,0.0,405.0,CALCARE MARNOSO-ARGILLITE,CRETACEO,EOCENE
1008390,64,LIGURIDI S.L.,0.0,101.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
769232,65,CALCAREO-MARNOSA. F.L.,0.0,360.0,ARGILLITE- CALCARE MARNOSO-ARENARIA CEM. CARB. - MARNA- CALCARE MICRITICO,CRETACEO-SUP,
238149,66,ARGILLOSO-CALCAREA F.L.,0.0,51.0,ARGILLITE-CALCARE MICRITICO-CALCARENITE-ARENARIA CEM.CARB.,PALEOCENE,EOCENE
1001036,67,LIGURIDI S.L.,0.0,540.0,ARGILLITE-CALCARE MARNOSO- CALCARE SILICEO,CRETACEO,EOCENE
1007829,68,LIGURIDI S.L.,0.0,305.0,CALCARE MARNOSO-ARGILLITE-CALCARE SILICEO,CRETACEO,EOCENE
