X;Y;key;nome;nomeunita1;nomeunita2;daprof;aprof;litologia;posizione;rango;etarel;a;oid
10,88207561;43,22731768;1001232;2;LIGURIDI S.L.;;0;472,2;ARGILLITE-CALCARE;;Indefinita;CRETACEO;EOCENE;9396
10,87687952;43,23412827;1007672;5;LIGURIDI S.L.;;0;490;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9405
10,87727829;43,2295558;1007283;6;LIGURIDI S.L.;;0;508;;;Indefinita;non inserita;;9421
10,9006875;43,21898434;1003630;10;LIGURIDI S.L.;;0;270,45;ARGILLITE-CALCARE MARNOSO-ARENARIA;;Indefinita;CRETACEO;EOCENE;9629
12,06427079;42,49592595;5044015;11;VULCANITI;;0;200;PIROCLASTITI E LAVE;;;QUATERNARIO;;2667
10,89745075;43,21979866;1001251;15;LIGURIDI S.L.;;0;267,35;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9656
10,89947801;43,21711228;1004967;16;LIGURIDI S.L.;;0;143;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO ;EOCENE;9658
10,89330155;43,21736494;1009287;19;LIGURIDI S.L.;;0;381;ARGILLITE-CALCARE MARNOSO-ARENARIA;;Indefinita;CRETACEO;EOCENE;9661
12,26205753;42,29453567;4946005;21;VULCANITI;;0;242;PIROCLASTITI E LAVE;;;QUATERNARIO;;2539
12,08038278;42,46175897;5044017;22;VULCANITI;;0;42;PIROCLASTITI E LAVE;;;QUATERNARIO;;2671
10,90013196;43,21565097;1003405;25;LIGURIDI S.L.;;0;141;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9663
10,90235427;43,21481764;1008598;30;LIGURIDI S.L.;;0;106;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9669
10,90124312;43,21509541;1005460;31;LIGURIDI S.L.;;0;106;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9674
10,89624292;43,21565095;1005702;37;LIGURIDI S.L.;;0;330,9;ARGILLITE-CALCARE MARNOSO-ARENARIA;;Indefinita;CRETACEO;EOCENE;9677
10,89584666;43,21824631;5535013;38;LIGURIDI S.L.;LIGURIDI S.L.;0;199;ARGILLOSCISTI E CALCARI MARNOSI;ALLOCTONO;Indefinita;EOCENE SUP.;CRETACEO INF.;3456
12,08955094;42,31870185;4944006;39;VULCANITI;;0;244;PIROCLASTITI E LAVE;;;QUATERNARIO;;2502
12,19427777;42,22675684;4945006;40;VULCANITI;;0;132;PIROCLASTITI E LAVE;;;QUATERNARIO;;2525
10,90707667;43,21537322;1002384;41;LIGURIDI S.L.;;0;130,4;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9679
10,89754915;43,21831188;1007898;42;LIGURIDI S.L.;;0;188;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9682
10,8820755;43,23898448;1008124;43;LIGURIDI S.L.;;0;366,6;CALCARE-ARGILLITE;;Indefinita;CRETACEO;EOCENE;9399
10,89107202;43,22386034;1008083;44;LIGURIDI S.L.;;0;269,5;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9685
10,89429014;43,21980166;1006823;45;LIGURIDI S.L.;;0;270;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9688
10,88151999;43,23203996;1004296;49;LIGURIDI S.L.;;0;311;CALCARE-CALCARE MARNOSO-ARGILLITE-ARENARIA;;Indefinita;CRETACEO;EOCENE;9402
10,90457662;43,21092871;1006956;50;MACIGNO;FALDA TOSCANA;0;184,2;ARENARIA-ARGILLITE;;Formazione;OLIGOCENE-S;AQUITANIANO;9692
10,87540867;43,22981768;1009802;51;LIGURIDI S.L.;;0;500,35;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9408
10,88699228;43,2249616;1005411;52;LIGURIDI S.L.;;0;318;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9411
10,8806698;43,23701763;174206;53;SERIE MARINO-CONTINENTALI;;0;25;CONGLOMERATO;;Gruppo;PLIOCENE-INF.;;6696
10,88207553;43,23648445;1000717;54;LIGURIDI S.L.;;0;365;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9414
10,88624234;43,2375956;1001490;55;LIGURIDI S.L.;;0;242,7;ARGILLITE-CALCARE;;Indefinita;CRETACEO;EOCENE;9416
10,88582335;43,22767781;1003978;56;LIGURIDI S.L.;;0;312;CALCARE MARNOSO-ARGILLITE;;Indefinita;CRETACEO;EOCENE;9417
10,8862482;43,23065341;542599;57;LIGURIDI S.L.;;0;320;CALCARE MARNOSO-ARGILLITE;;Indefinita;ETA' IMPRECISATA;;6700
10,88191801;43,22966942;1000652;58;LIGURIDI S.L.;;0;356,5;CALCARE MARNOSO-CALCARE SILICEO-ARGILLITE-ARENARIA;;Indefinita;CRETACEO;EOCENE;9420
10,87893257;43,22670234;412895;59;CALCAREO-MARNOSA. F.L.;;0;505;CALCARE MARNOSO-MARNA-CALCARE MICRITICO-ARGILLITE-ARENARIA CEM. CARB.;;Formazione;CRETACEO-SUP;;6704
10,90429873;43,22092883;1007371;61;LIGURIDI S.L.;;0;365;ARGILLITE-CALCARE MARNOSO;;Indefinita;CRETACEO;EOCENE;9695
10,87945355;43,23170477;1003397;62;LIGURIDI S.L.;;0;405;CALCARE MARNOSO-ARGILLITE;;Indefinita;CRETACEO;EOCENE;9423
