X;Y;key;nome;data;prof;temp;tcirc;tstop;metodo;oid
10,86366384;43,22370644;76775;100;10/06/87;0;223;;;0;16184
10,86268771;43,23436398;590093;101;12/06/87;0;220;;;0;16185
10,8563976;43,22758325;335965;102;12/06/87;0;220;;;0;18318
10,87066876;43,23902539;928368;102BIS;01/12/75;0;150;;;0;16194
10,87066876;43,23902539;928368;102BIS;06/06/89;200;155;;;0;16186
10,87066876;43,23902539;928368;102BIS;06/06/89;250;159,6;;;0;16187
10,87066876;43,23902539;928368;102BIS;06/06/89;300;161,3;;;0;16188
10,87066876;43,23902539;928368;102BIS;06/06/89;350;162,2;;;0;16189
10,87066876;43,23902539;928368;102BIS;06/06/89;400;162,2;;;0;16190
10,87066876;43,23902539;928368;102BIS;00/11/1983;400;161,1;;;0;16191
10,87066876;43,23902539;928368;102BIS;00/11/1983;500;215,5;;;0;16192
10,87066876;43,23902539;928368;102BIS;00/11/1983;600;255,26;;;0;16193
10,875024;43,24018113;598608;103;15/03/89;0;238;;;0;16195
10,875024;43,24018113;598608;103;01/02/75;0;235;;;0;18319
10,87444177;43,22828763;785016;105;26/06/56;0;192;;;0;16196
10,89086867;43,2276861;403729;106;02/12/75;0;150;;;0;18279
10,89086867;43,2276861;403729;106;14/03/89;0;206;;;0;15267
10,87776727;43,24100228;670021;107;01/12/75;0;184;;;0;16197
10,85936269;43,23815217;44729;109;01/12/75;0;217;;;0;18320
10,85936269;43,23815217;44729;109;16/03/89;0;228;;;0;16198
10,87054039;43,2253627;268933;110;18/08/65;0;221;;;0;18321
10,87054039;43,2253627;268933;110;16/03/89;0;181;;;0;16199
10,85410024;43,23479013;238838;111;18/05/66;0;172;;;0;16210
10,85410024;43,23479013;238838;111;09/01/84;100;161,43;;;0;16200
10,85410024;43,23479013;238838;111;09/01/84;200;161,51;;;0;16201
10,85410024;43,23479013;238838;111;17/01/84;300;163;;;0;16207
10,85410024;43,23479013;238838;111;09/01/84;300;163;;;0;16202
10,85410024;43,23479013;238838;111;09/01/84;400;163,15;;;0;16203
10,85410024;43,23479013;238838;111;09/01/84;500;163,48;;;0;16204
10,85410024;43,23479013;238838;111;09/01/84;600;163,63;;;0;16205
10,85410024;43,23479013;238838;111;17/01/84;600;163,63;;;0;16208
10,85410024;43,23479013;238838;111;17/01/84;697;169,96;;;0;16209
10,85410024;43,23479013;238838;111;09/01/84;697;169,96;;;0;16206
10,86271139;43,22082949;339072;112;03/12/75;0;183;;;0;16211
10,86336916;43,21349326;196025;113;22/12/75;0;190;;;0;18322
10,86336916;43,21349326;196025;113;03/03/89;0;190;;;0;16212
10,86654508;43,24017094;990964;114;09/06/87;0;234;;;0;16217
10,86654508;43,24017094;990964;114;10/11/81;400;166;;;0;16213
10,86654508;43,24017094;990964;114;10/11/81;500;166,1;;;0;16214
10,86654508;43,24017094;990964;114;10/11/81;600;166,3;;;0;16215
10,86654508;43,24017094;990964;114;10/11/81;695;166,6;;;0;16216
10,85282981;43,25426229;192803;115;29/06/81;100;45,7;;;0;16218
10,85282981;43,25426229;192803;115;29/06/81;200;77,3;;;0;16219
10,85282981;43,25426229;192803;115;29/06/81;300;102,8;;;0;16220
10,85282981;43,25426229;192803;115;29/06/81;400;133,1;;;0;16221
10,85282981;43,25426229;192803;115;29/06/81;450;152,3;;;0;16222
10,85282981;43,25426229;192803;115;08/03/78;460;156,43;;;0;16224
10,85282981;43,25426229;192803;115;29/06/81;460;155,3;;;0;16223
10,87601519;43,21908432;54510;116;29/01/71;100;34;;;0;16225
10,87601519;43,21908432;54510;116;29/01/71;200;166;;;0;16226
10,87601519;43,21908432;54510;116;29/01/71;300;171;;;0;16227
10,87601519;43,21908432;54510;116;29/01/71;400;172;;;0;16228
10,87601519;43,21908432;54510;116;29/01/71;500;172;;;0;16229
10,87601519;43,21908432;54510;116;29/01/71;600;172;;;0;16230
10,87601519;43,21908432;54510;116;29/01/71;665;173;;;0;16231
10,86199687;43,24870672;505215;117;14/09/70;0;162;;;0;18323
10,86199687;43,24870672;505215;117;23/03/77;358;215;;;0;16232
10,85485541;43,24148567;733116;118;01/12/75;0;168;;;0;18324
10,85485541;43,24148567;733116;118;15/03/89;0;182;;;0;16233
10,89389527;43,23555596;246863;120;31/12/86;0;203;;;0;16234
10,84366321;43,21009507;376381;121;17/03/66;0;180;;;0;15268
10,85028097;43,24452709;488706;122;25/07/72;0;148;;;0;18278
10,85028097;43,24452709;488706;122;15/10/85;200;170;;;0;14787
10,85028097;43,24452709;488706;122;00/00/1985;400;171;;;0;14788
